Komoditas(Rp),Beras,Beras Kualitas Bawah I (kg),Beras Kualitas Bawah II (kg),Beras Kualitas Medium I (kg),Beras Kualitas Medium II (kg),Beras Kualitas Super I (kg),Beras Kualitas Super II (kg)
04/01/2021,12350,10850,10700,12650,12400,13950,13400
05/01/2021,12350,10850,10700,12650,12400,13950,13400
06/01/2021,12350,10850,10700,12650,12400,13950,13400
07/01/2021,12350,10850,10700,12650,12400,13950,13400
08/01/2021,12350,10850,10700,12650,12400,13950,13400
11/01/2021,12350,10850,10700,12650,12400,13950,13500
12/01/2021,12350,10850,10700,12650,12400,13950,13500
13/01/2021,12350,10850,10700,12650,12400,13950,13500
14/01/2021,12350,10850,10700,12650,12400,13950,13500
15/01/2021,12350,10850,10700,12650,12400,13950,13500
18/01/2021,12350,10850,10700,12650,12400,13950,13500
19/01/2021,12350,10850,10700,12650,12400,13950,13500
20/01/2021,12350,10850,10700,12650,12400,13950,13500
21/01/2021,12350,10850,10700,12650,12400,13950,13500
22/01/2021,12350,10850,10700,12650,12400,13950,13500
25/01/2021,12350,10850,10700,12650,12400,13950,13500
26/01/2021,12350,10850,10700,12650,12400,13950,13500
27/01/2021,12350,10850,10700,12650,12400,13950,13500
28/01/2021,12350,10850,10700,12650,12400,13950,13500
29/01/2021,12350,10850,10700,12650,12400,13950,13500
01/02/2021,12350,10850,10700,12650,12400,13950,13500
02/02/2021,12350,10850,10700,12650,12400,13950,13500
03/02/2021,12350,10850,10700,12650,12400,13950,13500
04/02/2021,12350,10850,10700,12650,12400,13950,13500
05/02/2021,12350,10850,10700,12650,12400,13950,13500
08/02/2021,12350,10850,10700,12650,12400,14000,13500
09/02/2021,12350,10850,10700,12650,12400,14000,13500
10/02/2021,12350,10850,10700,12650,12400,14000,13500
11/02/2021,12350,10850,10700,12650,12400,14000,13500
15/02/2021,12350,10850,10700,12650,12400,14050,13500
16/02/2021,12350,10850,10700,12650,12400,14050,13500
17/02/2021,12350,10850,10700,12650,12400,14050,13500
18/02/2021,12350,10850,10700,12650,12400,14050,13500
19/02/2021,12350,10850,10700,12650,12400,14050,13500
22/02/2021,12350,10850,10700,12650,12400,14050,13500
23/02/2021,12350,10850,10700,12650,12400,14050,13500
24/02/2021,12350,10850,10700,12650,12400,14050,13500
25/02/2021,12350,10850,10700,12650,12400,14050,13500
26/02/2021,12350,10850,10700,12650,12400,14050,13500
01/03/2021,12350,10850,10750,12650,12400,14050,13500
02/03/2021,12350,10850,10750,12650,12400,14050,13500
03/03/2021,12350,10850,10750,12650,12400,14050,13500
04/03/2021,12350,10850,10750,12650,12400,14050,13500
05/03/2021,12350,10850,10750,12650,12400,14050,13500
08/03/2021,12350,10850,10750,12650,12300,14050,13500
09/03/2021,12350,10850,10750,12650,12300,14050,13500
10/03/2021,12350,10850,10750,12650,12300,14050,13500
12/03/2021,12350,10850,10750,12650,12300,14050,13500
15/03/2021,12350,10850,10750,12650,12300,14050,13500
16/03/2021,12350,10850,10750,12650,12300,14050,13500
17/03/2021,12350,10850,10750,12650,12300,14050,13500
18/03/2021,12350,10850,10750,12650,12300,14050,13500
19/03/2021,12350,10850,10750,12650,12300,14050,13500
22/03/2021,12350,10850,10650,12700,12300,13900,13500
23/03/2021,12350,10850,10650,12700,12300,13900,13500
24/03/2021,12350,10850,10650,12700,12300,13900,13500
25/03/2021,12350,10850,10650,12700,12300,13900,13500
26/03/2021,12350,10850,10650,12700,12300,13900,13500
29/03/2021,12350,10850,10650,12700,12300,13900,13500
30/03/2021,12350,10850,10650,12700,12300,13900,13500
31/03/2021,12350,10850,10650,12700,12300,13900,13500
01/04/2021,12350,10850,10650,12700,12300,13900,13500
05/04/2021,12350,10850,10650,12700,12300,13900,13500
06/04/2021,12350,10850,10650,12700,12300,13900,13500
07/04/2021,12350,10850,10650,12700,12300,13900,13500
08/04/2021,12350,10850,10650,12700,12300,13900,13500
09/04/2021,12350,10850,10650,12700,12300,13900,13500
12/04/2021,12350,10850,10650,12700,12400,13900,13500
13/04/2021,12350,10850,10650,12700,12400,13900,13500
14/04/2021,12350,10850,10650,12700,12400,13900,13500
